date,day,start_time,end_time,timezone,timezone_abbreviation,utc_offset,stage,event,source_url,listed_hosts,participants,lineup_status,lineup_notes,participant_source_urls,is_concert,concert_classification_notes,is_meet_greet,event_status,meet_greet_type,price,booth,event_type,organizer
2026-09-19,Saturday,11:30,12:30,Europe/London,BST,+01:00,MONARCH STAGE,PhaseVision,https://vexpo.uk/stages-panels,"Clio Aite, Fujikura Uruka, Tenma Maemi, Dizzy Dokuro, Wilhelmina Frost, Mari Mari, Komachi Panko",Clio Aite; Fujikura Uruka; Tenma Maemi; Dizzy Dokuro; Wilhelmina Frost; Mari Mari; Komachi Panko,named lineup published,"Clio Aite hosts; Fujikura Uruka, Tenma Maemi, Dizzy Dokuro, Wilhelmina Frost, Mari Mari and Komachi Panko compete.",https://vexpo.uk/stages-panels; https://x.com/PhaseConnect,true,Included as a music performance: a singing competition with an audience vote.,false,official,,,,,Phase Connect
2026-09-19,Saturday,11:40,12:40,Europe/London,BST,+01:00,PANEL ROOM 1,F*** Around and Find Out 😈,https://vexpo.uk/stages-panels,RORO ☆ Hirano Kokoro,RORO ☆ Hirano Kokoro,named lineup published,,https://vexpo.uk/stages-panels,false,"Excluded: listed as a panel, workshop, interview or non-musical entertainment; no concert described.",false,official,,,,,
2026-09-19,Saturday,11:50,12:50,Europe/London,BST,+01:00,JUBILEE STAGE,The Best in Jest,https://vexpo.uk/stages-panels,The Best in Jest,Professor Lando; Commander Connor,named lineup published,Individual names are given in the session description.,https://vexpo.uk/stages-panels,false,"Excluded: listed as a panel, workshop, interview or non-musical entertainment; no concert described.",false,official,,,,,
2026-09-19,Saturday,11:50,12:50,Europe/London,BST,+01:00,PANEL ROOM 2,"I came, I saw, I socially panicked. (How to Survive a Meet and Greet with Your Oshi)",https://vexpo.uk/stages-panels,MomAtCookiebox,MomAtCookiebox,named lineup published,,https://vexpo.uk/stages-panels,false,"Excluded: listed as a panel, workshop, interview or non-musical entertainment; no concert described.",false,official,,,,,
2026-09-19,Saturday,12:00,13:00,Europe/London,BST,+01:00,M&G Booth ANYC M&G3,Shu Yamino — Meet & Greet,https://vexpo.uk/meet-greets,Shu Yamino,Shu Yamino,named lineup published,"Published availability window, not the duration of an individual appointment. Check the official listing and booking requirements.",https://vexpo.uk/meet-greets,false,Excluded: meet-and-greet appointment window.,true,official,Virtual,£60,ANYC M&G3,,
2026-09-19,Saturday,12:30,13:30,Europe/London,BST,+01:00,M&G Booth ANYC M&G1,Luca Kaneshiro — Meet & Greet,https://vexpo.uk/meet-greets,Luca Kaneshiro,Luca Kaneshiro,named lineup published,"Published availability window, not the duration of an individual appointment. Check the official listing and booking requirements.",https://vexpo.uk/meet-greets,false,Excluded: meet-and-greet appointment window.,true,official,Virtual,£60,ANYC M&G1,,
2026-09-19,Saturday,13:00,14:00,Europe/London,BST,+01:00,M&G Booth 5,Lan Philia — Meet & Greet,https://vexpo.uk/meet-greets,Lan Philia,Lan Philia,named lineup published,"Published availability window, not the duration of an individual appointment. Check the official listing and booking requirements.",https://vexpo.uk/meet-greets,false,Excluded: meet-and-greet appointment window.,true,official,Penplotter,£10,5,,
2026-09-19,Saturday,13:00,14:00,Europe/London,BST,+01:00,M&G Booth 6,TRiGGERPHiSH — Meet & Greet,https://vexpo.uk/meet-greets,TRiGGERPHiSH,TRiGGERPHiSH,named lineup published,"Published availability window, not the duration of an individual appointment. Check the official listing and booking requirements.",https://vexpo.uk/meet-greets,false,Excluded: meet-and-greet appointment window.,true,official,Penplotter,£10,6,,
2026-09-19,Saturday,13:00,14:00,Europe/London,BST,+01:00,M&G Booth 7,The Best in Jest — Meet & Greet,https://vexpo.uk/meet-greets,The Best in Jest,The Best in Jest,named lineup published,"Published availability window, not the duration of an individual appointment. Check the official listing and booking requirements.",https://vexpo.uk/meet-greets,false,Excluded: meet-and-greet appointment window.,true,official,IRL,£45,7,,
2026-09-19,Saturday,13:00,14:00,Europe/London,BST,+01:00,M&G Booth ANYC M&G2,Alban Knox — Meet & Greet,https://vexpo.uk/meet-greets,Alban Knox,Alban Knox,named lineup published,"Published availability window, not the duration of an individual appointment. Check the official listing and booking requirements.",https://vexpo.uk/meet-greets,false,Excluded: meet-and-greet appointment window.,true,official,Virtual,£60,ANYC M&G2,,
2026-09-19,Saturday,13:00,14:00,Europe/London,BST,+01:00,MONARCH STAGE,???,https://vexpo.uk/stages-panels,???,,unannounced,Session and participants not announced.,https://vexpo.uk/stages-panels,false,Unknown: no session content announced; excluded from the concerts filter pending details.,false,official,,,,,
2026-09-19,Saturday,13:10,14:10,Europe/London,BST,+01:00,PANEL ROOM 1,"6 Years of Partner, 7 Years of Streaming",https://vexpo.uk/stages-panels,Heavenlyfather,Heavenlyfather,named lineup published,,https://vexpo.uk/stages-panels,false,"Excluded: listed as a panel, workshop, interview or non-musical entertainment; no concert described.",false,official,,,,,
2026-09-19,Saturday,13:20,14:20,Europe/London,BST,+01:00,M&G Booth Auto1,AyuuChii — Meet & Greet,https://vexpo.uk/meet-greets,AyuuChii,AyuuChii,named lineup published,"Published availability window, not the duration of an individual appointment. Check the official listing and booking requirements.",https://vexpo.uk/meet-greets,false,Excluded: meet-and-greet appointment window.,true,official,IRL,£5,Auto1,,
2026-09-19,Saturday,13:20,14:20,Europe/London,BST,+01:00,M&G Booth Auto2,Phoenyx — Meet & Greet,https://vexpo.uk/meet-greets,Phoenyx,Phoenyx,named lineup published,"Published availability window, not the duration of an individual appointment. Check the official listing and booking requirements.",https://vexpo.uk/meet-greets,false,Excluded: meet-and-greet appointment window.,true,official,IRL,£5,Auto2,,
2026-09-19,Saturday,13:20,14:20,Europe/London,BST,+01:00,M&G Booth Auto3,Obkatiekat & Fufu — Meet & Greet,https://vexpo.uk/meet-greets,Obkatiekat & Fufu,Obkatiekat; Fufu,named lineup published,"Published availability window, not the duration of an individual appointment. Check the official listing and booking requirements.",https://vexpo.uk/meet-greets,false,Excluded: meet-and-greet appointment window.,true,official,IRL,£10,Auto3,,
2026-09-19,Saturday,13:20,14:20,Europe/London,BST,+01:00,M&G Booth Auto4,cakejumper — Meet & Greet,https://vexpo.uk/meet-greets,cakejumper,cakejumper,named lineup published,"Published availability window, not the duration of an individual appointment. Check the official listing and booking requirements.",https://vexpo.uk/meet-greets,false,Excluded: meet-and-greet appointment window.,true,official,IRL,£5,Auto4,,
2026-09-19,Saturday,13:20,14:20,Europe/London,BST,+01:00,M&G Booth Auto5,WUNDER RiKU & StarlightDaryl — Meet & Greet,https://vexpo.uk/meet-greets,WUNDER RiKU & StarlightDaryl,WUNDER RiKU; StarlightDaryl,named lineup published,"Published availability window, not the duration of an individual appointment. Check the official listing and booking requirements.",https://vexpo.uk/meet-greets,false,Excluded: meet-and-greet appointment window.,true,official,IRL,£10,Auto5,,
2026-09-19,Saturday,13:20,14:20,Europe/London,BST,+01:00,PANEL ROOM 2,Swedish History for Dummies,https://vexpo.uk/stages-panels,Alfhilde,Alfhilde,named lineup published,,https://vexpo.uk/stages-panels,false,"Excluded: listed as a panel, workshop, interview or non-musical entertainment; no concert described.",false,official,,,,,
2026-09-19,Saturday,13:30,14:30,Europe/London,BST,+01:00,JUBILEE STAGE,THE GREAT BRITISH SNACK OFF,https://vexpo.uk/stages-panels,"Tori Oriane, PiaPiUFO, BeriBug, Kairyu Crocodile",Tori Oriane; PiaPiUFO; BeriBug; Kairyu Crocodile,named lineup published,,https://vexpo.uk/stages-panels,false,"Excluded: listed as a panel, workshop, interview or non-musical entertainment; no concert described.",false,official,,,,,
2026-09-19,Saturday,13:30,14:30,Europe/London,BST,+01:00,M&G Booth 1,rachie — Meet & Greet,https://vexpo.uk/meet-greets,rachie,rachie,named lineup published,"Published availability window, not the duration of an individual appointment. Check the official listing and booking requirements.",https://vexpo.uk/meet-greets,false,Excluded: meet-and-greet appointment window.,true,official,Virtual,£20,1,,
2026-09-19,Saturday,13:30,14:30,Europe/London,BST,+01:00,M&G Booth 2,Kira P. Raptor Girl — Meet & Greet,https://vexpo.uk/meet-greets,Kira P. Raptor Girl,Kira P. Raptor Girl,named lineup published,"Published availability window, not the duration of an individual appointment. Check the official listing and booking requirements.",https://vexpo.uk/meet-greets,false,Excluded: meet-and-greet appointment window.,true,official,Virtual,£5,2,,
2026-09-19,Saturday,13:30,14:30,Europe/London,BST,+01:00,M&G Booth 3,Hirano Kokoro — Meet & Greet,https://vexpo.uk/meet-greets,Hirano Kokoro,Hirano Kokoro,named lineup published,"Published availability window, not the duration of an individual appointment. Check the official listing and booking requirements. Also listed as RORO ☆ Hirano Kokoro in the duplicate table.",https://vexpo.uk/meet-greets,false,Excluded: meet-and-greet appointment window.,true,official,Virtual,£5,3,,
2026-09-19,Saturday,13:30,14:30,Europe/London,BST,+01:00,M&G Booth 4,Bonnie Barkswell — Meet & Greet,https://vexpo.uk/meet-greets,Bonnie Barkswell,Bonnie Barkswell,named lineup published,"Published availability window, not the duration of an individual appointment. Check the official listing and booking requirements.",https://vexpo.uk/meet-greets,false,Excluded: meet-and-greet appointment window.,true,official,Virtual,£15,4,,
2026-09-19,Saturday,13:30,14:30,Europe/London,BST,+01:00,M&G Booth ANYC M&G3,Shu Yamino — Meet & Greet,https://vexpo.uk/meet-greets,Shu Yamino,Shu Yamino,named lineup published,"Published availability window, not the duration of an individual appointment. Check the official listing and booking requirements.",https://vexpo.uk/meet-greets,false,Excluded: meet-and-greet appointment window.,true,official,Virtual,£60,ANYC M&G3,,
2026-09-19,Saturday,14:00,15:00,Europe/London,BST,+01:00,M&G Booth ANYC M&G1,Doppio Dropscythe — Meet & Greet,https://vexpo.uk/meet-greets,Doppio Dropscythe,Doppio Dropscythe,named lineup published,"Published availability window, not the duration of an individual appointment. Check the official listing and booking requirements.",https://vexpo.uk/meet-greets,false,Excluded: meet-and-greet appointment window.,true,official,Virtual,£60,ANYC M&G1,,
2026-09-19,Saturday,14:30,15:30,Europe/London,BST,+01:00,M&G Booth ANYC M&G2,Vezalius Bandage — Meet & Greet,https://vexpo.uk/meet-greets,Vezalius Bandage,Vezalius Bandage,named lineup published,"Published availability window, not the duration of an individual appointment. Check the official listing and booking requirements.",https://vexpo.uk/meet-greets,false,Excluded: meet-and-greet appointment window.,true,official,Virtual,£60,ANYC M&G2,,
2026-09-19,Saturday,14:30,15:30,Europe/London,BST,+01:00,MONARCH STAGE,hololive English -Justice- Panel,https://vexpo.uk/stages-panels,"Elizabeth Rose Bloodflame, Cecilia Immergreen, Raora Panthera",Elizabeth Rose Bloodflame; Cecilia Immergreen; Raora Panthera,named lineup published,,https://vexpo.uk/stages-panels,false,"Excluded: listed as a panel, workshop, interview or non-musical entertainment; no concert described.",false,official,,,,,
2026-09-19,Saturday,14:50,15:50,Europe/London,BST,+01:00,PANEL ROOM 1,Live2D for Beginners: Easy Emote Animation,https://vexpo.uk/stages-panels,YoshinoArt,YoshinoArt,named lineup published,,https://vexpo.uk/stages-panels,false,"Excluded: listed as a panel, workshop, interview or non-musical entertainment; no concert described.",false,official,,,,,
2026-09-19,Saturday,14:50,15:50,Europe/London,BST,+01:00,PANEL ROOM 2,Things I wish I knew before I started Vtubing,https://vexpo.uk/stages-panels,"Callie Calico, VividlyVivi, Meat, Snuffy, Coqui",Callie Calico; VividlyVivi; Meat; Snuffy; Coqui,named lineup published,,https://vexpo.uk/stages-panels,false,"Excluded: listed as a panel, workshop, interview or non-musical entertainment; no concert described.",false,official,,,,,
2026-09-19,Saturday,15:00,16:00,Europe/London,BST,+01:00,JUBILEE STAGE,Metamorphosis Lost - How Féileacán Cú Weaves a Novel Out of Streaming,https://vexpo.uk/stages-panels,Féileacán Cú,Féileacán Cú,named lineup published,,https://vexpo.uk/stages-panels,false,"Excluded: listed as a panel, workshop, interview or non-musical entertainment; no concert described.",false,official,,,,,
2026-09-19,Saturday,15:00,16:00,Europe/London,BST,+01:00,M&G Booth 5,Eru Erudite — Meet & Greet,https://vexpo.uk/meet-greets,Eru Erudite,Eru Erudite,named lineup published,"Published availability window, not the duration of an individual appointment. Check the official listing and booking requirements.",https://vexpo.uk/meet-greets,false,Excluded: meet-and-greet appointment window.,true,official,Penplotter,£10,5,,
2026-09-19,Saturday,15:00,16:00,Europe/London,BST,+01:00,M&G Booth 6,Remilia Nephys — Meet & Greet,https://vexpo.uk/meet-greets,Remilia Nephys,Remilia Nephys,named lineup published,"Published availability window, not the duration of an individual appointment. Check the official listing and booking requirements.",https://vexpo.uk/meet-greets; https://x.com/PhaseConnect,false,Excluded: meet-and-greet appointment window.,true,official,Penplotter,£25,6,,Phase Connect
2026-09-19,Saturday,15:00,16:00,Europe/London,BST,+01:00,M&G Booth 7,Kai Kurayomi — Meet & Greet,https://vexpo.uk/meet-greets,Kai Kurayomi,Kai Kurayomi,named lineup published,"Published availability window, not the duration of an individual appointment. Check the official listing and booking requirements.",https://vexpo.uk/meet-greets,false,Excluded: meet-and-greet appointment window.,true,official,IRL,£25,7,,
2026-09-19,Saturday,15:00,16:00,Europe/London,BST,+01:00,M&G Booth ANYC M&G3,Uki Violeta — Meet & Greet,https://vexpo.uk/meet-greets,Uki Violeta,Uki Violeta,named lineup published,"Published availability window, not the duration of an individual appointment. Check the official listing and booking requirements.",https://vexpo.uk/meet-greets,false,Excluded: meet-and-greet appointment window.,true,official,Virtual,£60,ANYC M&G3,,
2026-09-19,Saturday,15:30,16:30,Europe/London,BST,+01:00,M&G Booth 1,PillowDear — Meet & Greet,https://vexpo.uk/meet-greets,PillowDear,PillowDear,named lineup published,"Published availability window, not the duration of an individual appointment. Check the official listing and booking requirements.",https://vexpo.uk/meet-greets,false,Excluded: meet-and-greet appointment window.,true,official,Virtual,£10,1,,
2026-09-19,Saturday,15:30,16:30,Europe/London,BST,+01:00,M&G Booth 2,Katya Sable — Meet & Greet,https://vexpo.uk/meet-greets,Katya Sable,Katya Sable,named lineup published,"Published availability window, not the duration of an individual appointment. Check the official listing and booking requirements.",https://vexpo.uk/meet-greets,false,Excluded: meet-and-greet appointment window.,true,official,Virtual,£10,2,,
2026-09-19,Saturday,15:30,16:30,Europe/London,BST,+01:00,M&G Booth 3,Avaritia Hawthorne — Meet & Greet,https://vexpo.uk/meet-greets,Avaritia Hawthorne,Avaritia Hawthorne,named lineup published,"Published availability window, not the duration of an individual appointment. Check the official listing and booking requirements.",https://vexpo.uk/meet-greets,false,Excluded: meet-and-greet appointment window.,true,official,Virtual,£10,3,,
2026-09-19,Saturday,15:30,16:30,Europe/London,BST,+01:00,M&G Booth 4,Meat — Meet & Greet,https://vexpo.uk/meet-greets,Meat,Meat,named lineup published,"Published availability window, not the duration of an individual appointment. Check the official listing and booking requirements.",https://vexpo.uk/meet-greets,false,Excluded: meet-and-greet appointment window.,true,official,Virtual,£15,4,,
2026-09-19,Saturday,15:30,16:30,Europe/London,BST,+01:00,M&G Booth ANYC M&G1,Claude Clawmark — Meet & Greet,https://vexpo.uk/meet-greets,Claude Clawmark,Claude Clawmark,named lineup published,"Published availability window, not the duration of an individual appointment. Check the official listing and booking requirements.",https://vexpo.uk/meet-greets,false,Excluded: meet-and-greet appointment window.,true,official,Virtual,£60,ANYC M&G1,,
2026-09-19,Saturday,16:00,17:00,Europe/London,BST,+01:00,M&G Booth ANYC M&G2,Vantacrow Bringer — Meet & Greet,https://vexpo.uk/meet-greets,Vantacrow Bringer,Vantacrow Bringer,named lineup published,"Published availability window, not the duration of an individual appointment. Check the official listing and booking requirements.",https://vexpo.uk/meet-greets,false,Excluded: meet-and-greet appointment window.,true,official,Virtual,£60,ANYC M&G2,,
2026-09-19,Saturday,16:00,17:00,Europe/London,BST,+01:00,MONARCH STAGE,???,https://vexpo.uk/stages-panels,???,,unannounced,Session and participants not announced.,https://vexpo.uk/stages-panels,false,Unknown: no session content announced; excluded from the concerts filter pending details.,false,official,,,,,
2026-09-19,Saturday,16:10,17:10,Europe/London,BST,+01:00,PANEL ROOM 1,An Introduction to the VTubing Industry,https://vexpo.uk/stages-panels,Fumiko Hoshi,Fumiko Hoshi,named lineup published,,https://vexpo.uk/stages-panels,false,"Excluded: listed as a panel, workshop, interview or non-musical entertainment; no concert described.",false,official,,,,,
2026-09-19,Saturday,16:15,17:30,Europe/London,BST,+01:00,M&G Booth holo M&G1,Raora Panthera — Meet & Greet,https://vexpo.uk/meet-greets,Raora Panthera,Raora Panthera,named lineup published,"Published availability window, not the duration of an individual appointment. Check the official listing and booking requirements.",https://vexpo.uk/meet-greets,false,Excluded: meet-and-greet appointment window.,true,official,Virtual,£56,holo M&G1,,
2026-09-19,Saturday,16:15,17:30,Europe/London,BST,+01:00,M&G Booth holo M&G2,Ouro Kronii — Meet & Greet,https://vexpo.uk/meet-greets,Ouro Kronii,Ouro Kronii,named lineup published,"Published availability window, not the duration of an individual appointment. Check the official listing and booking requirements.",https://vexpo.uk/meet-greets,false,Excluded: meet-and-greet appointment window.,true,official,Virtual,£56,holo M&G2,,
2026-09-19,Saturday,16:20,17:20,Europe/London,BST,+01:00,PANEL ROOM 2,Management for VTubers: Advice From Someone Who Is Both,https://vexpo.uk/stages-panels,SynicalBeanical,SynicalBeanical,named lineup published,,https://vexpo.uk/stages-panels,false,"Excluded: listed as a panel, workshop, interview or non-musical entertainment; no concert described.",false,official,,,,,
2026-09-19,Saturday,16:30,17:30,Europe/London,BST,+01:00,JUBILEE STAGE,???,https://vexpo.uk/stages-panels,???,,unannounced,Session and participants not announced.,https://vexpo.uk/stages-panels,false,Unknown: no session content announced; excluded from the concerts filter pending details.,false,official,,,,,
2026-09-19,Saturday,16:30,17:30,Europe/London,BST,+01:00,M&G Booth ANYC M&G3,Elira Pendora — Meet & Greet,https://vexpo.uk/meet-greets,Elira Pendora,Elira Pendora,named lineup published,"Published availability window, not the duration of an individual appointment. Check the official listing and booking requirements.",https://vexpo.uk/meet-greets,false,Excluded: meet-and-greet appointment window.,true,official,Virtual,£60,ANYC M&G3,,
2026-09-19,Saturday,17:00,18:00,Europe/London,BST,+01:00,M&G Booth 5,Veilyn — Meet & Greet,https://vexpo.uk/meet-greets,Veilyn,Veilyn,named lineup published,"Published availability window, not the duration of an individual appointment. Check the official listing and booking requirements.",https://vexpo.uk/meet-greets,false,Excluded: meet-and-greet appointment window.,true,official,Penplotter,£10,5,,
2026-09-19,Saturday,17:00,18:00,Europe/London,BST,+01:00,M&G Booth 6,Féileacán Cú — Meet & Greet,https://vexpo.uk/meet-greets,Féileacán Cú,Féileacán Cú,named lineup published,"Published availability window, not the duration of an individual appointment. Check the official listing and booking requirements.",https://vexpo.uk/meet-greets,false,Excluded: meet-and-greet appointment window.,true,official,Penplotter,£25,6,,
2026-09-19,Saturday,17:00,18:00,Europe/London,BST,+01:00,M&G Booth 7,Kumi — Meet & Greet,https://vexpo.uk/meet-greets,Kumi,Kumi,named lineup published,"Published availability window, not the duration of an individual appointment. Check the official listing and booking requirements.",https://vexpo.uk/meet-greets,false,Excluded: meet-and-greet appointment window.,true,official,IRL,£5,7,,
2026-09-19,Saturday,17:00,18:00,Europe/London,BST,+01:00,M&G Booth ANYC M&G1,Claude Clawmark — Meet & Greet,https://vexpo.uk/meet-greets,Claude Clawmark,Claude Clawmark,named lineup published,"Published availability window, not the duration of an individual appointment. Check the official listing and booking requirements.",https://vexpo.uk/meet-greets,false,Excluded: meet-and-greet appointment window.,true,official,Virtual,£60,ANYC M&G1,,
2026-09-19,Saturday,17:20,18:20,Europe/London,BST,+01:00,M&G Booth Auto1,Cana — Meet & Greet,https://vexpo.uk/meet-greets,Cana,Cana,named lineup published,"Published availability window, not the duration of an individual appointment. Check the official listing and booking requirements.",https://vexpo.uk/meet-greets,false,Excluded: meet-and-greet appointment window.,true,official,IRL,£5,Auto1,,
2026-09-19,Saturday,17:30,18:30,Europe/London,BST,+01:00,M&G Booth 1,Tomoe Umari — Meet & Greet,https://vexpo.uk/meet-greets,Tomoe Umari,Tomoe Umari,named lineup published,"Published availability window, not the duration of an individual appointment. Check the official listing and booking requirements.",https://vexpo.uk/meet-greets,false,Excluded: meet-and-greet appointment window.,true,official,Virtual,£5,1,,
2026-09-19,Saturday,17:30,18:30,Europe/London,BST,+01:00,M&G Booth 2,Alfhilde — Meet & Greet,https://vexpo.uk/meet-greets,Alfhilde,Alfhilde,named lineup published,"Published availability window, not the duration of an individual appointment. Check the official listing and booking requirements.",https://vexpo.uk/meet-greets,false,Excluded: meet-and-greet appointment window.,true,official,Virtual,£5,2,,
2026-09-19,Saturday,17:30,18:30,Europe/London,BST,+01:00,M&G Booth 3,Coqui — Meet & Greet,https://vexpo.uk/meet-greets,Coqui,Coqui,named lineup published,"Published availability window, not the duration of an individual appointment. Check the official listing and booking requirements.",https://vexpo.uk/meet-greets,false,Excluded: meet-and-greet appointment window.,true,official,Virtual,£5,3,,
